term,z,claude_ct,other_ct,total_ct,contrast,n
feet,0.012506565932820492,9,19,28,claude_vs_pooled,1
learning,-0.01587626444251658,23,49,72,claude_vs_pooled,1
rules,-0.01587626444251658,23,49,72,claude_vs_pooled,1
essential,-0.0214098814422498,7,15,22,claude_vs_pooled,1
month,-0.0214098814422498,7,15,22,claude_vs_pooled,1
robotics,-0.0214098814422498,7,15,22,claude_vs_pooled,1
y,-0.0214098814422498,7,15,22,claude_vs_pooled,1
inference,-0.0214098814422498,7,15,22,claude_vs_pooled,1
example,-0.024259788870809037,30,64,94,claude_vs_pooled,1
mathematical,-0.026248630588813392,22,47,69,claude_vs_pooled,1
bank,-0.037094412860843466,21,45,66,claude_vs_pooled,1
regardless,-0.042146693048635483,6,13,19,claude_vs_pooled,1
engine,-0.042146693048635483,6,13,19,claude_vs_pooled,1
assumptions,-0.042146693048635483,6,13,19,claude_vs_pooled,1
read,-0.042146693048635483,6,13,19,claude_vs_pooled,1
monthly,-0.042146693048635483,6,13,19,claude_vs_pooled,1
bacterial,-0.042146693048635483,6,13,19,claude_vs_pooled,1
intelligence,-0.0566267365611788,34,73,107,claude_vs_pooled,1
improve,-0.05961232738499599,12,26,38,claude_vs_pooled,1
fuzzy,-0.05961232738499599,12,26,38,claude_vs_pooled,1
metronidazole,-0.06674836223494086,5,11,16,claude_vs_pooled,1
written,-0.06674836223494086,5,11,16,claude_vs_pooled,1
tuberculosis,-0.06674836223494086,5,11,16,claude_vs_pooled,1
viral,-0.06674836223494086,5,11,16,claude_vs_pooled,1
roles,-0.06674836223494086,5,11,16,claude_vs_pooled,1
defined,-0.06674836223494086,5,11,16,claude_vs_pooled,1
fake,-0.06674836223494086,5,11,16,claude_vs_pooled,1
diseases,-0.06674836223494086,5,11,16,claude_vs_pooled,1
ca,-0.06674836223494086,5,11,16,claude_vs_pooled,1
depth,-0.06674836223494086,5,11,16,claude_vs_pooled,1
gallbladder,-0.06674836223494086,5,11,16,claude_vs_pooled,1
relative,-0.06674836223494086,5,11,16,claude_vs_pooled,1
treasuries,-0.06674836223494086,5,11,16,claude_vs_pooled,1
share,-0.0730195733085563,18,39,57,claude_vs_pooled,1
head,-0.07619331447249451,11,24,35,claude_vs_pooled,1
because,-0.0773403239106159,61,131,192,claude_vs_pooled,1
medical,-0.08442194929306086,31,67,98,claude_vs_pooled,1
effect,-0.09440694884618019,10,22,32,claude_vs_pooled,1
international,-0.09440694884618019,10,22,32,claude_vs_pooled,1
balance,-0.09440694884618019,10,22,32,claude_vs_pooled,1
kind,-0.09440694884618019,10,22,32,claude_vs_pooled,1
useful,-0.09440694884618019,10,22,32,claude_vs_pooled,1
meaningful,-0.09714082062020622,4,9,13,claude_vs_pooled,1
adjusting,-0.09714082062020622,4,9,13,claude_vs_pooled,1
members,-0.09714082062020622,4,9,13,claude_vs_pooled,1
sound,-0.09714082062020622,4,9,13,claude_vs_pooled,1
contains,-0.09714082062020622,4,9,13,claude_vs_pooled,1
moravec,-0.09714082062020622,4,9,13,claude_vs_pooled,1
performs,-0.09714082062020622,4,9,13,claude_vs_pooled,1
cellular,-0.09714082062020622,4,9,13,claude_vs_pooled,1
representation,-0.09714082062020622,4,9,13,claude_vs_pooled,1
define,-0.09714082062020622,4,9,13,claude_vs_pooled,1
stability,-0.09714082062020622,4,9,13,claude_vs_pooled,1
location,-0.09714082062020622,4,9,13,claude_vs_pooled,1
managed,-0.09714082062020622,4,9,13,claude_vs_pooled,1
traded,-0.09714082062020622,4,9,13,claude_vs_pooled,1
filled,-0.09714082062020622,4,9,13,claude_vs_pooled,1
washington,-0.09714082062020622,4,9,13,claude_vs_pooled,1
force,-0.09714082062020622,4,9,13,claude_vs_pooled,1
movements,-0.09714082062020622,4,9,13,claude_vs_pooled,1
via,-0.09714082062020622,4,9,13,claude_vs_pooled,1
past,-0.09714082062020622,4,9,13,claude_vs_pooled,1
inputs,-0.09714082062020622,4,9,13,claude_vs_pooled,1
bodies,-0.09714082062020622,4,9,13,claude_vs_pooled,1
helped,-0.09714082062020622,4,9,13,claude_vs_pooled,1
action,-0.09714082062020622,4,9,13,claude_vs_pooled,1
treatments,-0.09714082062020622,4,9,13,claude_vs_pooled,1
affects,-0.09714082062020622,4,9,13,claude_vs_pooled,1
savings,-0.10052272573530954,16,35,51,claude_vs_pooled,1
components,-0.10052272573530954,16,35,51,claude_vs_pooled,1
search,-0.10052272573530954,16,35,51,claude_vs_pooled,1
properly,-0.11463202088378041,9,20,29,claude_vs_pooled,1
longer,-0.11463202088378041,9,20,29,claude_vs_pooled,1
card,-0.11508130620321702,28,61,89,claude_vs_pooled,1
start,-0.11563730100003007,15,33,48,claude_vs_pooled,1
contain,-0.13705933171484705,3,7,10,claude_vs_pooled,1
inner,-0.13705933171484705,3,7,10,claude_vs_pooled,1
deal,-0.13705933171484705,3,7,10,claude_vs_pooled,1
moving,-0.13705933171484705,3,7,10,claude_vs_pooled,1
cage,-0.13705933171484705,3,7,10,claude_vs_pooled,1
recognized,-0.13705933171484705,3,7,10,claude_vs_pooled,1
requiring,-0.13705933171484705,3,7,10,claude_vs_pooled,1
operate,-0.13705933171484705,3,7,10,claude_vs_pooled,1
mph,-0.13705933171484705,3,7,10,claude_vs_pooled,1
charities,-0.13705933171484705,3,7,10,claude_vs_pooled,1
experiment,-0.13705933171484705,3,7,10,claude_vs_pooled,1
generation,-0.13705933171484705,3,7,10,claude_vs_pooled,1
profits,-0.13705933171484705,3,7,10,claude_vs_pooled,1
sort,-0.13705933171484705,3,7,10,claude_vs_pooled,1
allowed,-0.13705933171484705,3,7,10,claude_vs_pooled,1
behavioral,-0.13705933171484705,3,7,10,claude_vs_pooled,1
exploring,-0.13705933171484705,3,7,10,claude_vs_pooled,1
methamphetamine,-0.13705933171484705,3,7,10,claude_vs_pooled,1
foundation,-0.13705933171484705,3,7,10,claude_vs_pooled,1
persia,-0.13705933171484705,3,7,10,claude_vs_pooled,1
projects,-0.13705933171484705,3,7,10,claude_vs_pooled,1
app,-0.13705933171484705,3,7,10,claude_vs_pooled,1
helping,-0.13705933171484705,3,7,10,claude_vs_pooled,1
dish,-0.13705933171484705,3,7,10,claude_vs_pooled,1
prevention,-0.13705933171484705,3,7,10,claude_vs_pooled,1
birth,-0.13705933171484705,3,7,10,claude_vs_pooled,1
toilet,-0.13705933171484705,3,7,10,claude_vs_pooled,1
distribution,-0.13739024171706257,8,18,26,claude_vs_pooled,1
hear,-0.13739024171706257,8,18,26,claude_vs_pooled,1
winter,-0.13739024171706257,8,18,26,claude_vs_pooled,1
discuss,-0.13739024171706257,8,18,26,claude_vs_pooled,1
diet,-0.14931761456220533,13,29,42,claude_vs_pooled,1
anti,-0.14931761456220533,13,29,42,claude_vs_pooled,1
every,-0.14931761456220533,13,29,42,claude_vs_pooled,1
typically,-0.1612770186760815,43,94,137,claude_vs_pooled,1
design,-0.16342544909392134,7,16,23,claude_vs_pooled,1
bleeding,-0.16342544909392134,7,16,23,claude_vs_pooled,1
embryo,-0.16342544909392134,7,16,23,claude_vs_pooled,1
university,-0.16828315377321038,12,27,39,claude_vs_pooled,1
d,-0.18902353403646188,11,25,36,claude_vs_pooled,1
book,-0.19384450612501644,6,14,20,claude_vs_pooled,1
develop,-0.19384450612501644,6,14,20,claude_vs_pooled,1
lose,-0.19384450612501644,6,14,20,claude_vs_pooled,1
demand,-0.19384450612501644,6,14,20,claude_vs_pooled,1
meantime,-0.19384450612501644,6,14,20,claude_vs_pooled,1
product,-0.19384450612501644,6,14,20,claude_vs_pooled,1
box,-0.19384450612501644,6,14,20,claude_vs_pooled,1
yourself,-0.19384450612501644,6,14,20,claude_vs_pooled,1
coverage,-0.19384450612501644,6,14,20,claude_vs_pooled,1
save,-0.19384450612501644,6,14,20,claude_vs_pooled,1
smartphones,-0.19514022058632505,2,5,7,claude_vs_pooled,1
touch,-0.19514022058632505,2,5,7,claude_vs_pooled,1
optimize,-0.19514022058632505,2,5,7,claude_vs_pooled,1
sinus,-0.19514022058632505,2,5,7,claude_vs_pooled,1
housing,-0.19514022058632505,2,5,7,claude_vs_pooled,1
leaving,-0.19514022058632505,2,5,7,claude_vs_pooled,1
immunodeficiency,-0.19514022058632505,2,5,7,claude_vs_pooled,1
mba,-0.19514022058632505,2,5,7,claude_vs_pooled,1
wanted,-0.19514022058632505,2,5,7,claude_vs_pooled,1
discipline,-0.19514022058632505,2,5,7,claude_vs_pooled,1
effectiveness,-0.19514022058632505,2,5,7,claude_vs_pooled,1
advantage,-0.19514022058632505,2,5,7,claude_vs_pooled,1
institution,-0.19514022058632505,2,5,7,claude_vs_pooled,1
catholic,-0.19514022058632505,2,5,7,claude_vs_pooled,1
uncertain,-0.19514022058632505,2,5,7,claude_vs_pooled,1
interventions,-0.19514022058632505,2,5,7,claude_vs_pooled,1
football,-0.19514022058632505,2,5,7,claude_vs_pooled,1
creams,-0.19514022058632505,2,5,7,claude_vs_pooled,1
structured,-0.19514022058632505,2,5,7,claude_vs_pooled,1
speaking,-0.19514022058632505,2,5,7,claude_vs_pooled,1
commodity,-0.19514022058632505,2,5,7,claude_vs_pooled,1
dirt,-0.19514022058632505,2,5,7,claude_vs_pooled,1
organized,-0.19514022058632505,2,5,7,claude_vs_pooled,1
moonwalk,-0.19514022058632505,2,5,7,claude_vs_pooled,1
discrete,-0.19514022058632505,2,5,7,claude_vs_pooled,1
milk,-0.19514022058632505,2,5,7,claude_vs_pooled,1
solid,-0.19514022058632505,2,5,7,claude_vs_pooled,1
remain,-0.19514022058632505,2,5,7,claude_vs_pooled,1
cd,-0.19514022058632505,2,5,7,claude_vs_pooled,1
epigenetic,-0.19514022058632505,2,5,7,claude_vs_pooled,1
latin,-0.19514022058632505,2,5,7,claude_vs_pooled,1
uralic,-0.19514022058632505,2,5,7,claude_vs_pooled,1
borrowing,-0.19514022058632505,2,5,7,claude_vs_pooled,1
format,-0.19514022058632505,2,5,7,claude_vs_pooled,1
brother,-0.19514022058632505,2,5,7,claude_vs_pooled,1
filtering,-0.19514022058632505,2,5,7,claude_vs_pooled,1
clearly,-0.19514022058632505,2,5,7,claude_vs_pooled,1
dysfunction,-0.19514022058632505,2,5,7,claude_vs_pooled,1
blockers,-0.19514022058632505,2,5,7,claude_vs_pooled,1
urinary,-0.19514022058632505,2,5,7,claude_vs_pooled,1
miles,-0.19514022058632505,2,5,7,claude_vs_pooled,1
relax,-0.19514022058632505,2,5,7,claude_vs_pooled,1
opportunity,-0.19514022058632505,2,5,7,claude_vs_pooled,1
issuing,-0.19514022058632505,2,5,7,claude_vs_pooled,1
smoking,-0.19514022058632505,2,5,7,claude_vs_pooled,1
declining,-0.19514022058632505,2,5,7,claude_vs_pooled,1
seems,-0.19514022058632505,2,5,7,claude_vs_pooled,1
condom,-0.19514022058632505,2,5,7,claude_vs_pooled,1
watched,-0.19514022058632505,2,5,7,claude_vs_pooled,1
transparency,-0.19514022058632505,2,5,7,claude_vs_pooled,1
male,-0.19514022058632505,2,5,7,claude_vs_pooled,1
breathable,-0.19514022058632505,2,5,7,claude_vs_pooled,1
proposed,-0.19514022058632505,2,5,7,claude_vs_pooled,1
contexts,-0.19514022058632505,2,5,7,claude_vs_pooled,1
implied,-0.19514022058632505,2,5,7,claude_vs_pooled,1
shared,-0.19514022058632505,2,5,7,claude_vs_pooled,1
breaks,-0.19514022058632505,2,5,7,claude_vs_pooled,1
continuously,-0.19514022058632505,2,5,7,claude_vs_pooled,1
aimed,-0.19514022058632505,2,5,7,claude_vs_pooled,1
worked,-0.19514022058632505,2,5,7,claude_vs_pooled,1
faculty,-0.19514022058632505,2,5,7,claude_vs_pooled,1
setup,-0.19514022058632505,2,5,7,claude_vs_pooled,1
organs,-0.19514022058632505,2,5,7,claude_vs_pooled,1
gametophyte,-0.19514022058632505,2,5,7,claude_vs_pooled,1
enzymes,-0.19514022058632505,2,5,7,claude_vs_pooled,1
substance,-0.19514022058632505,2,5,7,claude_vs_pooled,1
domestic,-0.19514022058632505,2,5,7,claude_vs_pooled,1
freedom,-0.19514022058632505,2,5,7,claude_vs_pooled,1
austria,-0.19514022058632505,2,5,7,claude_vs_pooled,1
story,-0.19514022058632505,2,5,7,claude_vs_pooled,1
rough,-0.19514022058632505,2,5,7,claude_vs_pooled,1
check,-0.1978289694644005,33,73,106,claude_vs_pooled,1
based,-0.21891505282334736,43,95,138,claude_vs_pooled,1
considering,-0.23038622915043502,5,12,17,claude_vs_pooled,1
treasury,-0.23038622915043502,5,12,17,claude_vs_pooled,1
exclusion,-0.23038622915043502,5,12,17,claude_vs_pooled,1
muscle,-0.2311552203034101,14,32,46,claude_vs_pooled,1
chinese,-0.23742640551735178,9,21,30,claude_vs_pooled,1
neck,-0.23742640551735178,9,21,30,claude_vs_pooled,1
children,-0.23742640551735178,9,21,30,claude_vs_pooled,1
assets,-0.23742640551735178,9,21,30,claude_vs_pooled,1
party,-0.23742640551735178,9,21,30,claude_vs_pooled,1
applications,-0.2497387102163699,18,41,59,claude_vs_pooled,1
mind,-0.2517640265862536,13,30,43,claude_vs_pooled,1
artificial,-0.25714943342284785,28,63,91,claude_vs_pooled,1
primarily,-0.2662495044428425,8,19,27,claude_vs_pooled,1
advisor,-0.2662495044428425,8,19,27,claude_vs_pooled,1
id,-0.2662495044428425,8,19,27,claude_vs_pooled,1
pregnancy,-0.26738623020175967,22,50,72,claude_vs_pooled,1
against,-0.2674553395422655,17,39,56,claude_vs_pooled,1
stay,-0.2674553395422655,17,39,56,claude_vs_pooled,1
association,-0.2759830654491975,4,10,14,claude_vs_pooled,1
pretty,-0.2759830654491975,4,10,14,claude_vs_pooled,1
websites,-0.2759830654491975,4,10,14,claude_vs_pooled,1
adding,-0.2759830654491975,4,10,14,claude_vs_pooled,1
baby,-0.2759830654491975,4,10,14,claude_vs_pooled,1
immediately,-0.2759830654491975,4,10,14,claude_vs_pooled,1
dominant,-0.2759830654491975,4,10,14,claude_vs_pooled,1
won,-0.2759830654491975,4,10,14,claude_vs_pooled,1
communication,-0.2759830654491975,4,10,14,claude_vs_pooled,1
alt,-0.2759830654491975,4,10,14,claude_vs_pooled,1
march,-0.2759830654491975,4,10,14,claude_vs_pooled,1
computer,-0.28630217323863216,42,94,136,claude_vs_pooled,1
vision,-0.28634099444612504,16,37,53,claude_vs_pooled,1
everyone,-0.28634099444612504,16,37,53,claude_vs_pooled,1
fat,-0.29872637856913437,11,26,37,claude_vs_pooled,1
decide,-0.2993212687012184,7,17,24,claude_vs_pooled,1
content,-0.2993212687012184,7,17,24,claude_vs_pooled,1
accurate,-0.3258532502716579,10,24,34,claude_vs_pooled,1
times,-0.3258532502716579,10,24,34,claude_vs_pooled,1
circuit,-0.3258532502716579,10,24,34,claude_vs_pooled,1
effective,-0.3258532502716579,10,24,34,claude_vs_pooled,1
stress,-0.32830475703792183,14,33,47,claude_vs_pooled,1
kept,-0.3360824747154419,3,8,11,claude_vs_pooled,1
officer,-0.3360824747154419,3,8,11,claude_vs_pooled,1
hydrocortisone,-0.3360824747154419,3,8,11,claude_vs_pooled,1
hedging,-0.3360824747154419,3,8,11,claude_vs_pooled,1
institute,-0.3360824747154419,3,8,11,claude_vs_pooled,1
supplies,-0.3360824747154419,3,8,11,claude_vs_pooled,1
released,-0.3360824747154419,3,8,11,claude_vs_pooled,1
hygiene,-0.3360824747154419,3,8,11,claude_vs_pooled,1
unknown,-0.3360824747154419,3,8,11,claude_vs_pooled,1
sector,-0.3360824747154419,3,8,11,claude_vs_pooled,1
budget,-0.3360824747154419,3,8,11,claude_vs_pooled,1
edit,-0.3360824747154419,3,8,11,claude_vs_pooled,1
aligned,-0.3360824747154419,3,8,11,claude_vs_pooled,1
sneaky,-0.3360824747154419,3,8,11,claude_vs_pooled,1
developers,-0.3360824747154419,3,8,11,claude_vs_pooled,1
firms,-0.3360824747154419,3,8,11,claude_vs_pooled,1
volume,-0.33802491287498965,6,15,21,claude_vs_pooled,1
insights,-0.33802491287498965,6,15,21,claude_vs_pooled,1
report,-0.33802491287498965,6,15,21,claude_vs_pooled,1
social,-0.33802491287498965,6,15,21,claude_vs_pooled,1
signals,-0.33802491287498965,6,15,21,claude_vs_pooled,1
count,-0.33802491287498965,6,15,21,claude_vs_pooled,1
bad,-0.33802491287498965,6,15,21,claude_vs_pooled,1
services,-0.3518221656610288,13,31,44,claude_vs_pooled,1
alcohol,-0.3518221656610288,13,31,44,claude_vs_pooled,1
among,-0.35613082458696915,9,22,31,claude_vs_pooled,1
options,-0.3561537395169633,26,60,86,claude_vs_pooled,1
was,-0.3589102686201943,79,176,255,claude_vs_pooled,1
affect,-0.3774113774686187,12,29,41,claude_vs_pooled,1
debt,-0.3774113774686187,12,29,41,claude_vs_pooled,1
during,-0.38137979710172804,29,67,96,claude_vs_pooled,1
economy,-0.3844862054681954,5,13,18,claude_vs_pooled,1
community,-0.3844862054681954,5,13,18,claude_vs_pooled,1
consulting,-0.3844862054681954,5,13,18,claude_vs_pooled,1
increases,-0.3844862054681954,5,13,18,claude_vs_pooled,1
distance,-0.3844862054681954,5,13,18,claude_vs_pooled,1
markets,-0.3844862054681954,5,13,18,claude_vs_pooled,1
despite,-0.3844862054681954,5,13,18,claude_vs_pooled,1
examination,-0.3844862054681954,5,13,18,claude_vs_pooled,1
groups,-0.3844862054681954,5,13,18,claude_vs_pooled,1
deduction,-0.3844862054681954,5,13,18,claude_vs_pooled,1
lifestyle,-0.3844862054681954,5,13,18,claude_vs_pooled,1
problems,-0.3878491738322249,24,56,80,claude_vs_pooled,1
usage,-0.3903361053892866,8,20,28,claude_vs_pooled,1
until,-0.3903361053892866,8,20,28,claude_vs_pooled,1
large,-0.40015562686061323,19,45,64,claude_vs_pooled,1
medication,-0.40015562686061323,19,45,64,claude_vs_pooled,1
team,-0.4054517431407829,11,27,38,claude_vs_pooled,1
energy,-0.4054517431407829,11,27,38,claude_vs_pooled,1
management,-0.42049777085676227,18,43,61,claude_vs_pooled,1
precautions,-0.42230153148092736,2,6,8,claude_vs_pooled,1
perceive,-0.42230153148092736,2,6,8,claude_vs_pooled,1
squares,-0.42230153148092736,2,6,8,claude_vs_pooled,1
reliability,-0.42230153148092736,2,6,8,claude_vs_pooled,1
mimic,-0.42230153148092736,2,6,8,claude_vs_pooled,1
regions,-0.42230153148092736,2,6,8,claude_vs_pooled,1
sexual,-0.42230153148092736,2,6,8,claude_vs_pooled,1
berkeley,-0.42230153148092736,2,6,8,claude_vs_pooled,1
finite,-0.42230153148092736,2,6,8,claude_vs_pooled,1
talk,-0.42230153148092736,2,6,8,claude_vs_pooled,1
operational,-0.42230153148092736,2,6,8,claude_vs_pooled,1
opportunities,-0.42230153148092736,2,6,8,claude_vs_pooled,1
database,-0.42230153148092736,2,6,8,claude_vs_pooled,1
fruits,-0.42230153148092736,2,6,8,claude_vs_pooled,1
infectious,-0.42230153148092736,2,6,8,claude_vs_pooled,1
practices,-0.42230153148092736,2,6,8,claude_vs_pooled,1
consistently,-0.42230153148092736,2,6,8,claude_vs_pooled,1
industrial,-0.42230153148092736,2,6,8,claude_vs_pooled,1
fitting,-0.42230153148092736,2,6,8,claude_vs_pooled,1
powers,-0.42230153148092736,2,6,8,claude_vs_pooled,1
opposed,-0.42230153148092736,2,6,8,claude_vs_pooled,1
west,-0.42230153148092736,2,6,8,claude_vs_pooled,1
pittsburgh,-0.42230153148092736,2,6,8,claude_vs_pooled,1
citizen,-0.42230153148092736,2,6,8,claude_vs_pooled,1
originally,-0.42230153148092736,2,6,8,claude_vs_pooled,1
reflect,-0.42230153148092736,2,6,8,claude_vs_pooled,1
thousands,-0.42230153148092736,2,6,8,claude_vs_pooled,1
spain,-0.42230153148092736,2,6,8,claude_vs_pooled,1
dealing,-0.42230153148092736,2,6,8,claude_vs_pooled,1
environmental,-0.42230153148092736,2,6,8,claude_vs_pooled,1
entirely,-0.42230153148092736,2,6,8,claude_vs_pooled,1
analytics,-0.42230153148092736,2,6,8,claude_vs_pooled,1
fed,-0.42230153148092736,2,6,8,claude_vs_pooled,1
escheatment,-0.42230153148092736,2,6,8,claude_vs_pooled,1
father,-0.42230153148092736,2,6,8,claude_vs_pooled,1
layers,-0.42230153148092736,2,6,8,claude_vs_pooled,1
decides,-0.42230153148092736,2,6,8,claude_vs_pooled,1
sabbath,-0.42230153148092736,2,6,8,claude_vs_pooled,1
object,-0.42230153148092736,2,6,8,claude_vs_pooled,1
automatic,-0.42230153148092736,2,6,8,claude_vs_pooled,1
symbolic,-0.42230153148092736,2,6,8,claude_vs_pooled,1
sharing,-0.42230153148092736,2,6,8,claude_vs_pooled,1
prefer,-0.42230153148092736,2,6,8,claude_vs_pooled,1
annually,-0.42230153148092736,2,6,8,claude_vs_pooled,1
administration,-0.42230153148092736,2,6,8,claude_vs_pooled,1
weather,-0.42230153148092736,2,6,8,claude_vs_pooled,1
meets,-0.42230153148092736,2,6,8,claude_vs_pooled,1
wikis,-0.42230153148092736,2,6,8,claude_vs_pooled,1
sparkling,-0.42230153148092736,2,6,8,claude_vs_pooled,1
chance,-0.42230153148092736,2,6,8,claude_vs_pooled,1
win,-0.42230153148092736,2,6,8,claude_vs_pooled,1
pick,-0.42230153148092736,2,6,8,claude_vs_pooled,1
graduate,-0.42230153148092736,2,6,8,claude_vs_pooled,1
hogwarts,-0.42230153148092736,2,6,8,claude_vs_pooled,1
valuation,-0.42230153148092736,2,6,8,claude_vs_pooled,1
achieved,-0.42230153148092736,2,6,8,claude_vs_pooled,1
leadership,-0.42230153148092736,2,6,8,claude_vs_pooled,1
studying,-0.42230153148092736,2,6,8,claude_vs_pooled,1
compression,-0.42230153148092736,2,6,8,claude_vs_pooled,1
answered,-0.42230153148092736,2,6,8,claude_vs_pooled,1
growth,-0.42257025347738086,22,52,74,claude_vs_pooled,1
creating,-0.4295497870327091,7,18,25,claude_vs_pooled,1
volatility,-0.4295497870327091,7,18,25,claude_vs_pooled,1
depend,-0.442176609039993,4,11,15,claude_vs_pooled,1
ensuring,-0.442176609039993,4,11,15,claude_vs_pooled,1
hydrated,-0.442176609039993,4,11,15,claude_vs_pooled,1
ii,-0.442176609039993,4,11,15,claude_vs_pooled,1
speedway,-0.442176609039993,4,11,15,claude_vs_pooled,1
players,-0.442176609039993,4,11,15,claude_vs_pooled,1
view,-0.442176609039993,4,11,15,claude_vs_pooled,1
wants,-0.442176609039993,4,11,15,claude_vs_pooled,1
award,-0.442176609039993,4,11,15,claude_vs_pooled,1
stable,-0.442176609039993,4,11,15,claude_vs_pooled,1
optic,-0.442176609039993,4,11,15,claude_vs_pooled,1
body's,-0.442176609039993,4,11,15,claude_vs_pooled,1
middle,-0.442176609039993,4,11,15,claude_vs_pooled,1
scenario,-0.442176609039993,4,11,15,claude_vs_pooled,1
avoiding,-0.442176609039993,4,11,15,claude_vs_pooled,1
entire,-0.442176609039993,4,11,15,claude_vs_pooled,1
gnucash,-0.442176609039993,4,11,15,claude_vs_pooled,1
lost,-0.442176609039993,4,11,15,claude_vs_pooled,1
information,-0.44533323943048025,43,99,142,claude_vs_pooled,1
risk,-0.46565467320916426,46,106,152,claude_vs_pooled,1
alexa,-0.4709815304635344,9,23,32,claude_vs_pooled,1
strategies,-0.4709815304635344,9,23,32,claude_vs_pooled,1
different,-0.47224965824253906,60,137,197,claude_vs_pooled,1
while,-0.47514714804030483,36,84,120,claude_vs_pooled,1
detroit,-0.47532744328937304,6,16,22,claude_vs_pooled,1
measures,-0.47532744328937304,6,16,22,claude_vs_pooled,1
living,-0.47532744328937304,6,16,22,claude_vs_pooled,1
base,-0.47532744328937304,6,16,22,claude_vs_pooled,1
fatty,-0.47532744328937304,6,16,22,claude_vs_pooled,1
parameters,-0.47532744328937304,6,16,22,claude_vs_pooled,1
government,-0.47810760366569327,12,30,42,claude_vs_pooled,1
asset,-0.48987527495534167,15,37,52,claude_vs_pooled,1
contact,-0.5093407331190118,11,28,39,claude_vs_pooled,1
choose,-0.5093407331190118,11,28,39,claude_vs_pooled,1
specialist,-0.5099570849890883,8,21,29,claude_vs_pooled,1
predictions,-0.5099570849890883,8,21,29,claude_vs_pooled,1
games,-0.5099570849890883,8,21,29,claude_vs_pooled,1
tfsa,-0.5099570849890883,8,21,29,claude_vs_pooled,1
theoretical,-0.5099570849890883,8,21,29,claude_vs_pooled,1
cold,-0.5099570849890883,8,21,29,claude_vs_pooled,1
speakers,-0.5172251627668852,3,9,12,claude_vs_pooled,1
qualified,-0.5172251627668852,3,9,12,claude_vs_pooled,1
linguistic,-0.5172251627668852,3,9,12,claude_vs_pooled,1
maintenance,-0.5172251627668852,3,9,12,claude_vs_pooled,1
focuses,-0.5172251627668852,3,9,12,claude_vs_pooled,1
researcher,-0.5172251627668852,3,9,12,claude_vs_pooled,1
nba,-0.5172251627668852,3,9,12,claude_vs_pooled,1
military,-0.5172251627668852,3,9,12,claude_vs_pooled,1
tailored,-0.5172251627668852,3,9,12,claude_vs_pooled,1
laws,-0.5172251627668852,3,9,12,claude_vs_pooled,1
broker,-0.5172251627668852,3,9,12,claude_vs_pooled,1
recorded,-0.5172251627668852,3,9,12,claude_vs_pooled,1
generating,-0.5172251627668852,3,9,12,claude_vs_pooled,1
occasionally,-0.5172251627668852,3,9,12,claude_vs_pooled,1
conclusion,-0.5172251627668852,3,9,12,claude_vs_pooled,1
consuming,-0.5172251627668852,3,9,12,claude_vs_pooled,1
meet,-0.5172251627668852,3,9,12,claude_vs_pooled,1
oxygen,-0.5172251627668852,3,9,12,claude_vs_pooled,1
policy,-0.530002790933646,5,14,19,claude_vs_pooled,1
consists,-0.530002790933646,5,14,19,claude_vs_pooled,1
vascular,-0.530002790933646,5,14,19,claude_vs_pooled,1
protect,-0.530002790933646,5,14,19,claude_vs_pooled,1
summary,-0.530002790933646,5,14,19,claude_vs_pooled,1
arguments,-0.530002790933646,5,14,19,claude_vs_pooled,1
taxation,-0.530002790933646,5,14,19,claude_vs_pooled,1
round,-0.530002790933646,5,14,19,claude_vs_pooled,1
j,-0.530002790933646,5,14,19,claude_vs_pooled,1
sd,-0.530002790933646,5,14,19,claude_vs_pooled,1
several,-0.5320507958687699,28,67,95,claude_vs_pooled,1
way,-0.5389982869491943,40,94,134,claude_vs_pooled,1
dividend,-0.5397222425495085,20,49,69,claude_vs_pooled,1
keep,-0.5523857482146929,39,92,131,claude_vs_pooled,1
series,-0.5545221633439432,7,19,26,claude_vs_pooled,1
immune,-0.5545221633439432,7,19,26,claude_vs_pooled,1
output,-0.5545221633439432,7,19,26,claude_vs_pooled,1
co,-0.5545221633439432,7,19,26,claude_vs_pooled,1
application,-0.5545221633439432,7,19,26,claude_vs_pooled,1
amazon,-0.5545221633439432,7,19,26,claude_vs_pooled,1
borrowed,-0.56474068809983,1,4,5,claude_vs_pooled,1
precision,-0.56474068809983,1,4,5,claude_vs_pooled,1
convenient,-0.56474068809983,1,4,5,claude_vs_pooled,1
dividing,-0.56474068809983,1,4,5,claude_vs_pooled,1
diagnostic,-0.56474068809983,1,4,5,claude_vs_pooled,1
ended,-0.56474068809983,1,4,5,claude_vs_pooled,1
instability,-0.56474068809983,1,4,5,claude_vs_pooled,1
procedure,-0.56474068809983,1,4,5,claude_vs_pooled,1
vesting,-0.56474068809983,1,4,5,claude_vs_pooled,1
resistors,-0.56474068809983,1,4,5,claude_vs_pooled,1
conflict,-0.56474068809983,1,4,5,claude_vs_pooled,1
deposits,-0.56474068809983,1,4,5,claude_vs_pooled,1
contacting,-0.56474068809983,1,4,5,claude_vs_pooled,1
gift,-0.56474068809983,1,4,5,claude_vs_pooled,1
agitated,-0.56474068809983,1,4,5,claude_vs_pooled,1
mode,-0.56474068809983,1,4,5,claude_vs_pooled,1
parties,-0.56474068809983,1,4,5,claude_vs_pooled,1
